x, Bphi, vr, vz, rho, Omega, Psi, T, P, Bphi', vr', vz', rho', Omega', Psi', T', P'
        2.201000000000001E-001,       -1.873248277618085E-001,        9.282252709741129E-001,       -2.042541131599502E-001,        6.438144575506591E-001,        9.078333808235856E-001,        9.919317256549537E-001,        1.010858692007603E+000,        6.508054560969397E-001,       -5.499840610099513E-001,       -1.748727996716201E+000,       -5.429630321874208E-001,       -2.892147268665457E+000,       -7.595782619444396E-001,       -7.320434880751084E-002,        9.945735833338173E-002,       -2.859520119891697E+000
        2.301000000000001E-001,       -1.926293413972195E-001,        9.093772225772709E-001,       -2.091956155981173E-001,        6.146641455357935E-001,        9.002370458432680E-001,        9.911838063370368E-001,        1.011875729371772E+000,        6.219637481118127E-001,       -5.108555639239954E-001,       -2.022664893328983E+000,       -4.435659891534661E-001,       -2.935310674847871E+000,       -7.582695519988819E-001,       -7.637035708859041E-002,        1.039415241673565E-001,       -2.906280501906422E+000
        2.401000000000001E-001,       -1.975413233526334E-001,        8.877471249306323E-001,       -2.130918817174313E-001,        5.851620324667162E-001,        8.926971818781230E-001,        9.904045179837897E-001,        1.012937329335079E+000,        5.927324856834210E-001,       -4.715432560466942E-001,       -2.304015844293876E+000,       -3.341245813097967E-001,       -2.962349403765583E+000,       -7.482156071614915E-001,       -7.947651201436129E-002,        1.083677217535169E-001,       -2.937261617292598E+000
        2.501000000000001E-001,       -2.020609375885912E-001,        8.632966096073812E-001,       -2.158498176777189E-001,        5.554737488375101E-001,        8.853027579371957E-001,        9.895945090039167E-001,        1.014042846447192E+000,        5.632742021343732E-001,       -4.324506508234798E-001,       -2.585425772435760E+000,       -2.162171450800949E-001,       -2.972428534466256E+000,       -7.291673914865093E-001,       -8.251279127724885E-002,        1.127227017264637E-001,       -2.951555390243928E+000
        2.601000000000001E-001,       -2.061924503623107E-001,        8.360662113711193E-001,       -2.173953137120070E-001,        5.257717780899104E-001,        8.781435115596399E-001,        9.887545290184701E-001,        1.015191500474130E+000,        5.337590620195999E-001,       -3.939920354778456E-001,       -2.858540214809375E+000,       -9.205503483253197E-002,       -2.965028400559815E+000,       -7.012295259690012E-001,       -8.546901891686787E-002,        1.169928159961812E-001,       -2.948560110022671E+000
        2.701000000000001E-001,       -2.099442547217059E-001,        8.061830843876411E-001,       -2.176792729647936E-001,        4.962320060231625E-001,        8.713062229875405E-001,        9.878854289897664E-001,        1.016382374233620E+000,        5.043614868677498E-001,       -3.565755269808905E-001,       -3.114480183553651E+000,        3.558795022489274E-002,       -2.939999111544048E+000,       -6.648893999927640E-001,       -8.833515398562902E-002,        1.211643930451441E-001,       -2.928037627416501E+000
        2.801000000000001E-001,       -2.133287195448854E-001,        7.738632299980851E-001,       -2.166825662510787E-001,        4.670296749243233E-001,        8.648708882849021E-001,        9.869881583149609E-001,        1.017614415481178E+000,        4.752561529126990E-001,       -3.205851982610610E-001,       -3.344461661274620E+000,        1.635206331494507E-001,       -2.897623968785501E+000,       -6.210118657748485E-001,       -9.110160396399362E-002,        1.252241570975146E-001,       -2.890180523897985E+000
        2.901000000000001E-001,       -2.163618621010310E-001,        7.394072449330632E-001,       -2.144192410298336E-001,        4.383349645363450E-001,        8.589071588410798E-001,        9.860637587457246E-001,        1.018886443020709E+000,        4.466135769901989E-001,       -2.863639618355851E-001,       -3.540471282204644E+000,        2.883394712772227E-001,       -2.838634849679194E+000,       -5.707913049072186E-001,       -9.375954226615273E-002,        1.291596695926848E-001,       -2.835631365833824E+000
        3.001000000000001E-001,       -2.190628603701718E-001,        7.031893864510744E-001,       -2.109374696705257E-001,        4.103084981218375E-001,        8.534714078401169E-001,        9.851133552044350E-001,        1.020197157256001E+000,        4.185955874424178E-001,       -2.541989264405272E-001,       -3.695884371437784E+000,        4.066634952270801E-001,       -2.764205582127452E+000,       -5.156729178627564E-001,       -9.630120623408871E-002,        1.329597528290025E-001,       -2.765480160463677E+000
        3.101000000000002E-001,       -2.214534380372185E-001,        6.656406717453116E-001,       -2.063179897402813E-001,        3.830971031989733E-001,        8.486047141258465E-001,        9.841381438502493E-001,        1.021545154416058E+000,        3.913510136208895E-001,       -2.243106737391219E-001,       -3.806044115102222E+000,        5.154002571475941E-001,       -2.675912664072142E+000,       -4.572518720155532E-001,       -9.872015201595520E-002,        1.366148090976516E-001,       -2.681228878004070E+000
        3.201000000000002E-001,       -2.235571652829284E-001,        6.272275992279877E-001,       -2.006701321947322E-001,        3.568301507585279E-001,        8.443319360513928E-001,        9.831393778481119E-001,        1.022928944160817E+000,        3.650119134838350E-001,       -1.968473947091654E-001,       -3.868555457992969E+000,        6.119595687603988E-001,       -2.575656626171961E+000,       -3.971585914029853E-001,       -1.010114469246046E-001,        1.401171579137694E-001,       -2.584715686548669E+000
        3.301000000000002E-001,       -2.253987272262066E-001,        5.884287165129406E-001,       -1.941258593501284E-001,        3.316167454133825E-001,        8.406619066393006E-001,        9.821183516198054E-001,        1.024346969590051E+000,        3.396906322917536E-001,       -1.718841900479021E-001,       -3.883395067034710E+000,        6.944263310339801E-001,       -2.465572193661373E+000,       -3.369504824801184E-001,       -1.031717847776690E-001,        1.434611927131238E-001,       -2.478027271061872E+000
        3.401000000000002E-001,       -2.270032098433435E-001,        5.497114959563405E-001,       -1.868325025549768E-001,        3.075439471114323E-001,        8.375886400793328E-001,        9.810763843436558E-001,        1.025797628569217E+000,        3.154778754168049E-001,       -1.494271726264386E-001,       -3.852757106899686E+000,        7.616497957448042E-001,       -2.347915823179657E+000,       -2.780204151064642E-001,       -1.051995191814006E-001,        1.466434747933588E-001,       -2.363387170441747E+000
        3.501000000000002E-001,       -2.283954473056347E-001,        5.115117824952246E-001,       -1.789450120836117E-001,        2.846760889244758E-001,        8.350933290625099E-001,        9.800148035234144E-001,        1.027279295278232E+000,        2.924418753359227E-001,       -1.294214681367974E-001,       -3.780702654535204E+000,        8.132522638351628E-001,       -2.224958251065370E+000,       -2.215315840457776E-001,       -1.070946174466746E-001,        1.496626927293298E-001,       -2.243048154153831E+000
        3.601000000000002E-001,       -2.295994638142447E-001,        4.742175323641437E-001,       -1.706185217776697E-001,        2.630551510484290E-001,        8.331468504741256E-001,        9.789349293752668E-001,        1.028790340882701E+000,        2.706286218499647E-001,       -1.117618777147942E-001,       -3.672655024049536E+000,        8.495569481979437E-001,       -2.098884157512109E+000,       -1.683805480406796E-001,       -1.088585456850081E-001,        1.525195231838571E-001,       -2.119190701671220E+000
        3.701000000000002E-001,       -2.306380296255887E-001,        4.381577793913310E-001,       -1.620018675676387E-001,        2.427020426399173E-001,        8.317124836661425E-001,        9.778380606434294E-001,        1.030329152671224E+000,        2.500630131293404E-001,       -9.630485466058950E-002,       -3.534886611100334E+000,        8.714772299533324E-001,       -1.971711150491552E+000,       -1.191910474859637E-001,       -1.104941009581695E-001,        1.552164861642998E-001,       -1.993840120754898E+000
